center,left,right,steering,throttle,reverse,speed
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_08_845.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_08_845.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_08_845.jpg,0,0,0,3.009029E-06
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_08_916.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_08_916.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_08_916.jpg,0,0,0,1.360329E-05
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_08_986.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_08_986.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_08_986.jpg,0,0,0,2.142105E-05
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_09_053.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_09_053.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_09_053.jpg,0,0,0,1.210671E-05
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_09_123.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_09_123.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_09_123.jpg,0,0,0,1.170827E-05
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_09_194.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_09_194.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_09_194.jpg,0,0,0,2.792991E-06
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_09_263.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_09_263.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_09_263.jpg,0,0,0,8.887905E-06
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_09_334.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_09_334.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_09_334.jpg,0,0,0,2.946558E-05
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_09_405.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_09_405.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_09_405.jpg,0,0,0,1.643055E-05
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_09_475.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_09_475.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_09_475.jpg,0,0,0,7.950352E-06
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_09_545.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_09_545.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_09_545.jpg,0,0.1108404,0,0.006816113
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_09_613.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_09_613.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_09_613.jpg,0,0.3566265,0,0.2832794
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_09_680.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_09_680.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_09_680.jpg,0,0.5270913,0,0.5982217
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_09_750.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_09_750.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_09_750.jpg,0,0.7677,0,1.193345
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_09_820.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_09_820.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_09_820.jpg,0,0.9518209,0,1.820029
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_09_891.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_09_891.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_09_891.jpg,0,1,0,2.714255
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_09_961.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_09_961.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_09_961.jpg,0,1,0,3.404512
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_10_032.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_10_032.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_10_032.jpg,-0.01886792,1,0,4.341949
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_10_099.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_10_099.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_10_099.jpg,-0.05660377,1,0,5.040278
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_10_169.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_10_169.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_10_169.jpg,-0.1037736,1,0,5.963609
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_10_238.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_10_238.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_10_238.jpg,-0.1037736,1,0,6.65253
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_10_307.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_10_307.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_10_307.jpg,-0.1037736,1,0,7.337608
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_10_377.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_10_377.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_10_377.jpg,-0.1037736,1,0,8.244912
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_10_447.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_10_447.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_10_447.jpg,-0.1037736,1,0,8.92077
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_10_516.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_10_516.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_10_516.jpg,-0.1132075,1,0,9.815604
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_10_587.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_10_587.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_10_587.jpg,-0.2735849,1,0,10.46817
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_10_657.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_10_657.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_10_657.jpg,-0.2735849,1,0,11.34005
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_10_727.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_10_727.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_10_727.jpg,-0.2735849,1,0,12.1221
E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\center_2023_12_02_04_39_10_794.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\left_2023_12_02_04_39_10_794.jpg,E:\PythonScripts\Ass\beta_simulator_windows\data\IMG\right_2023_12_02_04_39_10_794.jpg,-0.2735849,1,0,12.85454
